name,symbol,category,n_obs,pearson,spearman
treasury_3_7y,IEI,us_bond_etf,4005,-0.10550691392725008,-0.09517640676874907
us_treasury_broad,GOVT,us_bond_etf,4005,-0.12982459060284515,-0.09275569597558077
treasury_7_10y,IEF,us_bond_etf,4005,-0.11891078358825445,-0.08834385461756848
treasury_20y_plus,TLT,us_bond_etf,4005,-0.1343652395421615,-0.08344577488832433
treasury_1_3y,SHY,us_bond_etf,4005,-0.05425044574692838,-0.05032902799792413
us_3m_yield,^IRX,us_bond_yield,4005,0.039313543550303504,0.014816796385441429
vanguard_total_bond,BND,us_bond_etf,4005,0.11946241182055285,0.0197869996581998
tips_inflation,TIP,us_bond_etf,4005,0.05369596438997066,0.033054985434999754
us_aggregate_bond,AGG,us_bond_etf,4005,0.11343791291889112,0.03866607476974003
intl_aggregate_bndx,BNDX,international_bond_etf,4005,0.12269766969488789,0.05362913988957531
intl_treasury_igov,IGOV,international_bond_etf,4005,0.111883612817239,0.0765059978770503
us_30y_yield,^TYX,us_bond_yield,4005,0.12348915042656727,0.08075453136373885
us_5y_yield,^FVX,us_bond_yield,4005,0.09882100378684881,0.08854390341370202
us_10y_yield,^TNX,us_bond_yield,4005,0.11345706969559452,0.09058991838643743
intl_treasury_bwx,BWX,international_bond_etf,4005,0.11561946858255195,0.10206609604282091
gold_miners,GDX,us_industry_etf,4005,0.19337348201028445,0.1495016960508326
investment_grade_corp,LQD,us_bond_etf,4005,0.27166390907064714,0.16718751603699022
litecoin,LTC-USD,crypto_token,4005,0.2046498109914434,0.17075757035769332
bitcoin,BTC-USD,crypto_token,4005,0.2475210806238439,0.18290114071072533
binance_coin,BNB-USD,crypto_token,3005,0.24456347419365757,0.1969981131772912
