name,symbol,category,n_obs,pearson,spearman
kospi_index,^KS11,home_market_equity,3937,0.6507587460579171,0.5255628430102837
kosdaq_index,^KQ11,home_market_equity,3937,0.4695732907776421,0.3521130532078979
south_korea,EWY,country_etf,3937,0.34226675785704624,0.2999400332813603
emerging_markets,VWO,country_etf,3937,0.2004430455774109,0.16992755933772138
developed_ex_us,VEA,country_etf,3937,0.17628219872685547,0.15224365560049968
semis_vaneck,SMH,us_industry_etf,3937,0.1645295151900251,0.14332618618060952
japan,EWJ,country_etf,3937,0.17100579602472146,0.13847035621158718
semis_ishares,SOXX,us_industry_etf,3937,0.15302545771424061,0.13622072432525184
netherlands,EWN,country_etf,3937,0.14603954632850394,0.13568003413561325
all_country,ACWI,country_etf,3937,0.15821947735621794,0.13213143357181495
eafe,EFA,country_etf,3937,0.1603293008125031,0.13126769926878262
australia,EWA,country_etf,3937,0.1570186761332035,0.11825976892054314
germany,EWG,country_etf,3937,0.1337438843855252,0.11006270408584498
tech_sector,XLK,us_sector_etf,3937,0.12769723220325335,0.10670525890825834
united_kingdom,EWU,country_etf,3937,0.14173102462677106,0.10606687746577673
russell_1000_growth,IWF,broad_index_etf,3937,0.12501500579238325,0.10568868304620219
france,EWQ,country_etf,3937,0.13666517734645364,0.10524802794768856
blockchain_amplify,BLOK,crypto_equity,2878,0.1285613140328057,0.10072380079706289
sp500_voo,VOO,broad_index_etf,3937,0.12730542314997548,0.09849529388851631
canada,EWC,country_etf,3937,0.14047898893416552,0.09840915682396552
switzerland,EWL,country_etf,3937,0.11487863779584945,0.09655121329992015
sp500_spy,SPY,broad_index_etf,3937,0.1232554985143529,0.0958940449564577
consumer_disc_sector,XLY,us_sector_etf,3937,0.11774721810739079,0.0944326760507005
russell_1000,IWB,broad_index_etf,3937,0.12585867543907991,0.09306027836632842
total_us_market,VTI,broad_index_etf,3937,0.12486919940440178,0.09074961393307733
quality_factor,QUAL,broad_index_etf,3937,0.11865027123898789,0.0890369382444293
comm_services_sector,XLC,us_sector_etf,2738,0.09629751732257656,0.08719622158664952
em_bonds_local,EMLC,international_bond_etf,3937,0.1091903619788861,0.08685797777593376
us_5y_yield,^FVX,us_bond_yield,3937,0.07177311995256322,0.07669160152021443
financials_sector,XLF,us_sector_etf,3937,0.11408073489397147,0.0740402177782778
banks,KBE,us_industry_etf,3937,0.08576588048433881,0.07327576830603802
global_x_blockchain,BKCH,crypto_equity,1659,0.10918323382790208,0.07324434869029013
russell_1000_value,IWD,broad_index_etf,3937,0.11549563977887449,0.0686913749763371
high_yield_corp,HYG,us_bond_etf,3937,0.09439036035964316,0.06847018558099952
bitwise_crypto_innov,BITQ,crypto_equity,1722,0.10201356152493476,0.06826713610387986
oil_gas_exploration,XOP,us_industry_etf,3937,0.08197570599051426,0.06821200968156049
dow_jones,DIA,broad_index_etf,3937,0.11428087535610715,0.06714956984870743
russell_2000,IWM,broad_index_etf,3937,0.09432018729335885,0.06674650288760589
regional_banks,KRE,us_industry_etf,3937,0.0777816094285856,0.06670749785781709
materials_sector,XLB,us_sector_etf,3937,0.11755036531177912,0.06614060010358551
us_10y_yield,^TNX,us_bond_yield,3937,0.06047482114487126,0.06449543883433903
momentum_factor,MTUM,broad_index_etf,3937,0.11465681253540741,0.06239752921025296
em_bonds_usd,EMB,international_bond_etf,3937,0.09325654682299067,0.06188780619000229
industrials_sector,XLI,us_sector_etf,3937,0.12200117461129045,0.05828903144138564
coinbase,COIN,crypto_equity,1750,0.08030766456614839,0.05816479328637919
energy_sector,XLE,us_sector_etf,3937,0.09771655511176046,0.057066399922482844
airlines,JETS,us_industry_etf,3823,0.11364638350350341,0.05660417039080493
us_30y_yield,^TYX,us_bond_yield,3937,0.054028878773355105,0.05365449303876879
riot_platforms,RIOT,crypto_equity,3505,0.07628806000231969,0.052007871019786225
us_3m_yield,^IRX,us_bond_yield,3937,0.0371034709338831,0.05107664522623222
hut_8_mining,HUT,crypto_equity,2839,0.073361773762821,0.05006111929571984
cleanspark,CLSK,crypto_equity,3288,0.03696761486656854,0.04705568655154094
biotech_ishares,IBB,us_industry_etf,3937,0.04647939337869656,0.045937460798635026
healthcare_sector,XLV,us_sector_etf,3937,0.06523134595134321,0.04397784996918798
pipelines,AMLP,us_industry_etf,3937,0.08109114002482497,0.04392301557882591
aerospace_defence,ITA,us_industry_etf,3937,0.1093772990302702,0.04240941818155294
homebuilders,XHB,us_industry_etf,3937,0.08585018296767463,0.04238928506988729
biotech_equal_weight,XBI,us_industry_etf,3937,0.03377092950035985,0.03855554865113738
marathon_digital,MARA,crypto_equity,3937,0.04807597045711937,0.0369975644351429
cardano,ADA-USD,crypto_token,2950,0.02404355472471398,0.028764995563429093
intl_treasury_igov,IGOV,international_bond_etf,3937,0.02345571666635482,0.024814064696820633
gold_miners,GDX,us_industry_etf,3937,0.04656922829766092,0.02465997388543704
ethereum,ETH-USD,crypto_token,2950,0.017888621126986286,0.02227003149633356
grayscale_bitcoin,GBTC,crypto_equity,3814,0.043198695986056676,0.022065202310877385
microstrategy,MSTR,crypto_equity,3937,0.052613662761535104,0.02008363674392623
litecoin,LTC-USD,crypto_token,3937,0.01745666507359924,0.01971509762819942
ishares_bitcoin_etf,IBIT,crypto_equity,801,0.08111180184436369,0.019319080708365213
real_estate_sector,XLRE,us_sector_etf,3669,0.06717483460501848,0.0168926944119867
binance_coin,BNB-USD,crypto_token,2950,0.019142352821901784,0.007727430292160558
polkadot,DOT-USD,crypto_token,1971,0.022965666573460924,0.005967704102651617
intl_treasury_bwx,BWX,international_bond_etf,3937,0.014085447794152781,0.005796878440021255
ripple,XRP-USD,crypto_token,2950,-0.0007678101577834565,0.005206497826489559
solana,SOL-USD,crypto_token,2098,0.003675379467672212,0.003286482104183425
avalanche,AVAX-USD,crypto_token,1943,0.01654014810734228,-0.00011859603091247526
chainlink,LINK-USD,crypto_token,2950,-0.0064258834356370675,-0.0027894265180374994
bitcoin,BTC-USD,crypto_token,3937,0.00827499562742865,-0.003046804602293664
consumer_stap_sector,XLP,us_sector_etf,3937,0.02328506230801101,-0.004118550961606771
dogecoin,DOGE-USD,crypto_token,2950,-0.010412198753065913,-0.005743738524259867
investment_grade_corp,LQD,us_bond_etf,3937,0.01342499804929405,-0.01741986951980442
utilities_sector,XLU,us_sector_etf,3937,0.02964738631601974,-0.01997853241104701
tips_inflation,TIP,us_bond_etf,3937,-0.01699815595400757,-0.02077350500894766
intl_aggregate_bndx,BNDX,international_bond_etf,3937,-0.024083267345403236,-0.03561803408842747
us_aggregate_bond,AGG,us_bond_etf,3937,-0.021103672134234162,-0.04969681244165927
