name,symbol,category,frequency,n_obs,pearson,spearman
kospi_index,^KS11,home_market_equity,daily,3937,0.6507586695393932,0.5255549435747217
kosdaq_index,^KQ11,home_market_equity,daily,3937,0.46957322561406906,0.3521039975143928
south_korea,EWY,country_etf,daily,3937,0.3422668203288423,0.29993190732315644
emerging_markets,VWO,country_etf,daily,3937,0.20044279072740825,0.16992117407275786
developed_ex_us,VEA,country_etf,daily,3937,0.17628164803377647,0.15223600866011017
semis_vaneck,SMH,us_industry_etf,daily,3937,0.16452951743187302,0.14331780317468312
japan,EWJ,country_etf,daily,3937,0.17100582021079588,0.13846247760266112
semis_ishares,SOXX,us_industry_etf,daily,3937,0.15302586054843742,0.13620987314438207
netherlands,EWN,country_etf,daily,3937,0.1460392223744232,0.13567493821579393
all_country,ACWI,country_etf,daily,3937,0.15821967146905241,0.13212467710961023
eafe,EFA,country_etf,daily,3937,0.16032984828137106,0.13126122503201867
australia,EWA,country_etf,daily,3937,0.1570186793541205,0.11825597033069866
germany,EWG,country_etf,daily,3937,0.13374380082228884,0.11005548378449757
tech_sector,XLK,us_sector_etf,daily,3937,0.1276971665774397,0.10669472498412091
united_kingdom,EWU,country_etf,daily,3937,0.14173098806800272,0.10606125350341482
russell_1000_growth,IWF,broad_index_etf,daily,3937,0.12501486608655193,0.10568191966811545
france,EWQ,country_etf,daily,3937,0.1366651615302829,0.10524237355130438
blockchain_amplify,BLOK,crypto_equity,daily,2878,0.12856133914022058,0.10071468460581921
sp500_voo,VOO,broad_index_etf,daily,3937,0.1273057208743012,0.09848524259175445
canada,EWC,country_etf,daily,3937,0.1404788030083856,0.0984071207114872
switzerland,EWL,country_etf,daily,3937,0.11487900017418584,0.09654641226778134
sp500_spy,SPY,broad_index_etf,daily,3937,0.1232558314420582,0.09588864711630385
consumer_disc_sector,XLY,us_sector_etf,daily,3937,0.11774693468379212,0.09442767709094337
russell_1000,IWB,broad_index_etf,daily,3937,0.12585798497311487,0.09305265678939638
total_us_market,VTI,broad_index_etf,daily,3937,0.12486878326996743,0.09074387202943296
quality_factor,QUAL,broad_index_etf,daily,3937,0.1186502959151468,0.08903382767299593
comm_services_sector,XLC,us_sector_etf,daily,2738,0.09629763861767053,0.08719199135559254
em_bonds_local,EMLC,international_bond_etf,daily,3937,0.10918843344771667,0.08685655805879794
us_5y_yield,^FVX,us_bond_yield,daily,3937,0.07177327830427803,0.0766946682549516
financials_sector,XLF,us_sector_etf,daily,3937,0.11408144577944233,0.07404210430031993
banks,KBE,us_industry_etf,daily,3937,0.08576610771204989,0.07327824860711496
global_x_blockchain,BKCH,crypto_equity,daily,1659,0.10918311775190531,0.07323876363482684
russell_1000_value,IWD,broad_index_etf,daily,3937,0.11549626079871758,0.0686848521316261
high_yield_corp,HYG,us_bond_etf,daily,3937,0.09439049163437963,0.06847694826239226
bitwise_crypto_innov,BITQ,crypto_equity,daily,1722,0.10201354707283114,0.06825415536355736
oil_gas_exploration,XOP,us_industry_etf,daily,3937,0.08197585280154507,0.06820850813603432
dow_jones,DIA,broad_index_etf,daily,3937,0.1142813212520323,0.06714313797442252
russell_2000,IWM,broad_index_etf,daily,3937,0.09432051625345218,0.06673949068591849
regional_banks,KRE,us_industry_etf,daily,3937,0.07778198909162229,0.06670824349767658
materials_sector,XLB,us_sector_etf,daily,3937,0.11755071069155114,0.06613461431361103
japan_10y_yield,IRLTLT01JPM156N,international_bond_yield_candidate,monthly,135,0.0693885311958528,0.06593245872290991
us_10y_yield,^TNX,us_bond_yield,daily,3937,0.06047499489726353,0.06449629779990594
momentum_factor,MTUM,broad_index_etf,daily,3937,0.1146570133033377,0.06239526817491289
em_bonds_usd,EMB,international_bond_etf,daily,3937,0.09325700589604402,0.061615914167957336
industrials_sector,XLI,us_sector_etf,daily,3937,0.1220013592252817,0.05828030419260233
coinbase,COIN,crypto_equity,daily,1750,0.08030752106012032,0.058156484957682365
energy_sector,XLE,us_sector_etf,daily,3937,0.09771691392916841,0.057061032142696165
airlines,JETS,us_industry_etf,daily,3823,0.11364660364756861,0.05660729594970163
us_30y_yield,^TYX,us_bond_yield,daily,3937,0.05402906073802481,0.05365406657271872
riot_platforms,RIOT,crypto_equity,daily,3505,0.0762879071288898,0.05200128849289072
us_3m_yield,^IRX,us_bond_yield,daily,3937,0.03710341095843242,0.05107074402445818
hut_8_mining,HUT,crypto_equity,daily,2839,0.07336181225300843,0.05005121575433878
cleanspark,CLSK,crypto_equity,daily,3288,0.03696747264772647,0.04705322021196246
korea_10y_yield,IRLTLT01KRM156N,international_bond_yield_candidate,monthly,135,-0.003357445697464918,0.046950812797187894
biotech_ishares,IBB,us_industry_etf,daily,3937,0.04647949686569429,0.045930635935727784
healthcare_sector,XLV,us_sector_etf,daily,3937,0.06523149349900573,0.04396842932861984
pipelines,AMLP,us_industry_etf,daily,3937,0.08109133694546687,0.04391860325676579
aerospace_defence,ITA,us_industry_etf,daily,3937,0.10937774591847604,0.04240650028356549
homebuilders,XHB,us_industry_etf,daily,3937,0.08585033520478294,0.04238702126852286
biotech_equal_weight,XBI,us_industry_etf,daily,3937,0.03377098114583712,0.038553167742410674
marathon_digital,MARA,crypto_equity,daily,3937,0.048076086015784475,0.03699660737009492
cardano,ADA-USD,crypto_token,daily,2950,0.02404327158578723,0.02876301412796356
intl_treasury_igov,IGOV,international_bond_etf,daily,3937,0.023455875000789588,0.024808543325952555
gold_miners,GDX,us_industry_etf,daily,3937,0.0465691593943758,0.02465742459923218
ethereum,ETH-USD,crypto_token,daily,2950,0.017888453069747665,0.02226510153596544
grayscale_bitcoin,GBTC,crypto_equity,daily,3814,0.04319865465191676,0.02206219942101846
microstrategy,MSTR,crypto_equity,daily,3937,0.05261372442655576,0.020077935420580777
litecoin,LTC-USD,crypto_token,daily,3937,0.01745670427186543,0.019715510233754018
ishares_bitcoin_etf,IBIT,crypto_equity,daily,801,0.0811117926875212,0.01932392428880102
real_estate_sector,XLRE,us_sector_etf,daily,3669,0.06717428214100246,0.016658972241364558
binance_coin,BNB-USD,crypto_token,daily,2950,0.019142174857450088,0.007723120395552911
polkadot,DOT-USD,crypto_token,daily,1971,0.02296557804252891,0.005959193924318529
intl_treasury_bwx,BWX,international_bond_etf,daily,3937,0.014085976059512463,0.00578777923125112
ripple,XRP-USD,crypto_token,daily,2950,-0.0007681331104945644,0.005204917356042343
solana,SOL-USD,crypto_token,daily,2098,0.003675517212033563,0.003283423558719684
avalanche,AVAX-USD,crypto_token,daily,1943,0.01654005321789647,-0.00012580590731427248
chainlink,LINK-USD,crypto_token,daily,2950,-0.006426042177168001,-0.0027925473624301
bitcoin,BTC-USD,crypto_token,daily,3937,0.008275014724152317,-0.0030484791182670726
consumer_stap_sector,XLP,us_sector_etf,daily,3937,0.02328485655774093,-0.004119678296358317
dogecoin,DOGE-USD,crypto_token,daily,2950,-0.010412328335138742,-0.005740468272618153
australia_10y_yield,IRLTLT01AUM156N,international_bond_yield_candidate,monthly,135,-0.050170505860406396,-0.011574593450640986
investment_grade_corp,LQD,us_bond_etf,daily,3937,0.013424573862545646,-0.01727958154873504
utilities_sector,XLU,us_sector_etf,daily,3937,0.029647644467603016,-0.019976368703843058
tips_inflation,TIP,us_bond_etf,daily,3937,-0.01699746970571928,-0.020780176219681302
canada_10y_yield,IRLTLT01CAM156N,international_bond_yield_candidate,monthly,135,-0.042092049266144016,-0.027463207812926247
dxy,DX-Y.NYB,usd_index,daily,3937,-0.056520184114174477,-0.032146527857701966
usd_bull_etf,UUP,usd_index,daily,3937,-0.05591318892951442,-0.03280069832181238
intl_aggregate_bndx,BNDX,international_bond_etf,daily,3937,-0.024081266462034217,-0.03563900448677646
switzerland_10y_yield,IRLTLT01SEM156N,international_bond_yield_candidate,monthly,135,-0.06941180709248071,-0.0492660275395341
us_aggregate_bond,AGG,us_bond_etf,daily,3937,-0.02110277060535838,-0.049696558410636194
vanguard_total_bond,BND,us_bond_etf,daily,3937,-0.023751900488437516,-0.04991033487429509
germany_10y_yield,IRLTLT01DEM156N,international_bond_yield_candidate,monthly,135,-0.11548199171786219,-0.05048294127764616
treasury_20y_plus,TLT,us_bond_etf,daily,3937,-0.053468471708285545,-0.05573637822992946
us_treasury_broad,GOVT,us_bond_etf,daily,3937,-0.05410845841566217,-0.06095646812962174
treasury_7_10y,IEF,us_bond_etf,daily,3937,-0.06047977936362912,-0.07026925571267072
treasury_3_7y,IEI,us_bond_etf,daily,3937,-0.06931773250068189,-0.07503652547045592
uk_10y_yield,IRLTLT01GBM156N,international_bond_yield_candidate,monthly,135,-0.13425388002975194,-0.07606105760671544
treasury_1_3y,SHY,us_bond_etf,daily,3937,-0.07415536858464304,-0.07711036557942294
usd_krw,KRW=X,fx,daily,3937,-0.13927793387680742,-0.10739931794637378
