name,symbol,category,frequency,n_obs,pearson,spearman
kospi_index,^KS11,home_market_equity,daily,3937,0.6507586695393932,0.5255549435747217
kosdaq_index,^KQ11,home_market_equity,daily,3937,0.46957322561406906,0.3521039975143928
south_korea,EWY,country_etf,daily,3937,0.3422668203288423,0.29993190732315644
emerging_markets,VWO,country_etf,daily,3937,0.20044279072740825,0.16992117407275786
developed_ex_us,VEA,country_etf,daily,3937,0.17628164803377647,0.15223600866011017
semis_vaneck,SMH,us_industry_etf,daily,3937,0.16452951743187302,0.14331780317468312
japan,EWJ,country_etf,daily,3937,0.17100582021079588,0.13846247760266112
semis_ishares,SOXX,us_industry_etf,daily,3937,0.15302586054843742,0.13620987314438207
netherlands,EWN,country_etf,daily,3937,0.1460392223744232,0.13567493821579393
all_country,ACWI,country_etf,daily,3937,0.15821967146905241,0.13212467710961023
eafe,EFA,country_etf,daily,3937,0.16032984828137106,0.13126122503201867
australia,EWA,country_etf,daily,3937,0.1570186793541205,0.11825597033069866
germany,EWG,country_etf,daily,3937,0.13374380082228884,0.11005548378449757
tech_sector,XLK,us_sector_etf,daily,3937,0.1276971665774397,0.10669472498412091
united_kingdom,EWU,country_etf,daily,3937,0.14173098806800272,0.10606125350341482
russell_1000_growth,IWF,broad_index_etf,daily,3937,0.12501486608655193,0.10568191966811545
france,EWQ,country_etf,daily,3937,0.1366651615302829,0.10524237355130438
dxy,DX-Y.NYB,usd_index,daily,3937,-0.056520184114174477,-0.032146527857701966
usd_krw,KRW=X,fx,daily,3937,-0.13927793387680742,-0.10739931794637378
